"LearnAimRef","EffectiveFrom","EffectiveTo","Section96ApprovalStatus","Section96ApprovalStartDate","Section96ReviewDate","Section96ValidPre16","Section96Valid16to18","Section96Valid18plus","Created_On","Created_By","Modified_On","Modified_By"
"50075676","01 Aug 2014","","1","28 Sep 2009","31 Oct 2016","1","1","0","22 Oct 2014","bywatera","11 May 2016","bywatera"
"50075688","01 Aug 2013","","11","01 Oct 2009","30 Apr 2012","1","1","0","03 Feb 2014","suttonf","10 Jul 2014","bywatera"
"5007569X","01 Aug 2013","","11","15 Mar 2010","30 Apr 2012","0","1","0","03 Feb 2014","suttonf","10 Jul 2014","bywatera"
"50075706","01 Aug 2013","","11","15 Mar 2010","30 Apr 2012","0","1","0","03 Feb 2014","suttonf","10 Jul 2014","bywatera"
"5007572X","01 Aug 2014","","1","01 Feb 2010","31 Jul 2016","0","1","0","15 Apr 2015","bywatera","15 Apr 2015","bywatera"
"50075731","01 Aug 2013","","1","21 Dec 2009","31 Jul 2021","0","1","0","03 Feb 2014","suttonf","17 Apr 2020","KTEMPERLEY"
"50075743","01 Aug 2013","","1","07 Jun 2010","31 Jul 2021","0","1","0","03 Feb 2014","suttonf","24 Apr 2020","SGUINIVAN"
"50075755","01 Aug 2014","","1","01 Dec 2009","31 Jul 2018","1","1","0","22 Oct 2014","bywatera","14 Jul 2016","bywatera"
"50075767","01 Aug 2014","","1","02 Aug 2010","28 Feb 2015","1","1","0","18 Sep 2014","robinsonsar","18 Sep 2014","robinsonsar"
"50075779","01 Aug 2014","","1","02 Aug 2010","31 Aug 2014","1","1","0","18 Sep 2014","robinsonsar","18 Sep 2014","robinsonsar"
"50075780","01 Aug 2014","","1","02 Aug 2010","31 Aug 2014","1","1","0","24 Jun 2014","robinsonsar","24 Jun 2014","robinsonsar"
"50075822","01 Aug 2013","","11","15 Mar 2010","30 Apr 2012","0","1","0","03 Feb 2014","suttonf","10 Jul 2014","bywatera"
"50075834","01 Aug 2014","","1","01 Feb 2010","31 Jan 2015","0","1","0","12 Feb 2015","bywatera","12 Feb 2015","bywatera"
"50075846","01 Aug 2014","","1","01 Oct 2009","31 Dec 2018","1","1","0","14 Jan 2015","bywatera","07 Sep 2017","fisherk"
"50075858","01 Aug 2013","","11","01 Nov 2009","30 Jun 2011","1","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"5007586X","01 Aug 2014","","1","28 Sep 2009","31 Jul 2015","1","1","0","12 Feb 2015","bywatera","12 Feb 2015","bywatera"
"50075871","01 Aug 2014","","1","28 Sep 2009","31 Jul 2015","1","1","0","12 Feb 2015","bywatera","12 Feb 2015","bywatera"
"50075883","01 Aug 2013","","11","01 Oct 2009","30 Apr 2012","1","1","0","03 Feb 2014","suttonf","10 Jul 2014","bywatera"
"50075895","01 Aug 2013","","11","01 Oct 2009","30 Apr 2012","1","1","0","03 Feb 2014","suttonf","10 Jul 2014","bywatera"
"50075901","01 Aug 2013","","11","01 Aug 2010","13 Mar 2013","0","1","0","03 Feb 2014","suttonf","28 Mar 2014","bywatera"
"50075913","01 Aug 2013","","11","23 Nov 2009","31 Aug 2012","0","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50075949","01 Aug 2014","","1","09 Nov 2009","31 Jan 2015","0","0","1","12 Feb 2015","bywatera","12 Feb 2015","bywatera"
"50075950","01 Aug 2014","","1","01 Feb 2010","31 Jul 2021","1","1","-2","12 Feb 2015","bywatera","22 Mar 2020","SGUINIVAN"
"50076127","01 Aug 2013","","1","01 Mar 2011","31 Dec 2017","0","1","0","03 Feb 2014","suttonf","12 Aug 2015","bywatera"
"50076140","01 Aug 2014","","1","15 Feb 2010","05 Sep 2013","0","1","0","24 Jun 2014","robinsonsar","15 Jul 2014","robinsonsar"
"50076152","01 Aug 2013","","1","01 Dec 2009","31 Jul 2021","1","1","-2","03 Feb 2014","suttonf","22 Mar 2020","SGUINIVAN"
"50076267","01 Aug 2014","","1","01 Feb 2010","30 Sep 2015","0","1","0","24 Jun 2014","robinsonsar","10 Sep 2015","bywatera"
"50076309","01 Aug 2013","","11","01 Sep 2009","30 Jun 2011","1","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50076322","01 Aug 2014","","1","12 Apr 2010","31 Jul 2016","0","1","0","24 Jun 2014","robinsonsar","15 Jul 2014","robinsonsar"
"50076334","01 Aug 2014","","1","15 Mar 2010","31 Oct 2017","1","1","0","24 Jun 2014","robinsonsar","13 Sep 2016","bywatera"
"50076346","01 Aug 2014","","1","21 Dec 2009","31 Jan 2015","1","1","0","24 Jun 2014","robinsonsar","15 Apr 2015","bywatera"
"50076358","01 Aug 2013","","1","21 Dec 2009","31 Dec 2017","1","1","0","03 Feb 2014","suttonf","18 Jul 2017","fisherk"
"5007636X","01 Aug 2013","","1","21 Dec 2009","31 Dec 2017","1","1","0","03 Feb 2014","suttonf","18 Jul 2017","fisherk"
"50076498","01 Aug 2014","","1","15 Mar 2010","31 Jan 2016","0","1","0","24 Jun 2014","robinsonsar","08 Feb 2016","bywatera"
"50076504","01 Aug 2014","","1","21 Dec 2009","31 Jul 2021","0","1","0","24 Jun 2014","robinsonsar","17 Apr 2020","KTEMPERLEY"
"50076528","01 Aug 2014","","1","01 Aug 2010","28 Feb 2013","0","1","0","24 Jun 2014","robinsonsar","08 Feb 2016","bywatera"
"5007653X","01 Aug 2014","","1","21 Dec 2009","31 Jan 2015","1","1","0","24 Jun 2014","robinsonsar","15 Apr 2015","bywatera"
"50076541","01 Aug 2014","","11","15 Mar 2010","31 Jul 2013","0","1","0","24 Jun 2014","robinsonsar","24 Jun 2014","robinsonsar"
"50076577","01 Aug 2014","","1","01 Aug 2010","31 Jul 2021","0","0","1","24 Jun 2014","robinsonsar","24 Apr 2020","SGUINIVAN"
"50076589","01 Aug 2014","","1","15 Mar 2010","31 Aug 2014","1","1","0","18 Sep 2014","robinsonsar","18 Sep 2014","robinsonsar"
"50076590","01 Aug 2014","","11","01 Nov 2009","30 Jun 2011","1","1","0","24 Jun 2014","robinsonsar","24 Jun 2014","robinsonsar"
"50076607","01 Aug 2014","","1","30 Aug 2010","31 Oct 2015","1","1","0","18 Sep 2014","robinsonsar","04 Dec 2015","bywatera"
"50076656","01 Aug 2014","","1","01 Nov 2009","31 Jul 2021","1","1","0","15 Apr 2015","bywatera","17 Apr 2020","KTEMPERLEY"
"50076711","01 Aug 2013","","11","01 Sep 2009","30 Jun 2011","1","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50076735","01 Aug 2013","","1","21 Dec 2009","31 Aug 2013","1","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50076747","01 Aug 2013","","1","21 Dec 2009","31 Aug 2013","1","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50076759","01 Aug 2014","","1","15 Mar 2010","30 Sep 2015","0","1","0","24 Jun 2014","robinsonsar","10 Sep 2015","bywatera"
"50076760","01 Aug 2013","","1","21 Dec 2009","31 Aug 2013","1","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50076772","01 Aug 2014","","1","01 Feb 2010","31 Jul 2016","0","1","0","24 Jun 2014","robinsonsar","15 Jul 2014","robinsonsar"
"50076784","01 Aug 2014","","1","01 Feb 2010","30 Sep 2015","0","1","0","24 Jun 2014","robinsonsar","10 Sep 2015","bywatera"
"50076802","01 Aug 2013","","1","01 Feb 2010","31 Jul 2016","0","1","0","30 Jul 2011","suttonf","13 Aug 2014","bywatera"
"50076814","01 Aug 2014","","1","29 Mar 2010","30 Sep 2015","0","1","0","24 Jun 2014","robinsonsar","10 Sep 2015","bywatera"
"50076838","01 Aug 2014","","1","15 Mar 2010","30 Sep 2016","1","1","0","14 Nov 2014","bywatera","19 Oct 2016","bywatera"
"50076863","01 Aug 2014","","1","09 Nov 2009","31 Dec 2018","0","1","0","24 Jun 2014","robinsonsar","17 May 2017","fisherk"
"50076899","01 Aug 2014","","1","09 Nov 2009","31 Jul 2021","1","1","0","24 Jun 2014","robinsonsar","28 Apr 2020","KTEMPERLEY"
"50076905","01 Aug 2014","","1","09 Nov 2009","31 Jul 2019","1","1","0","11 Mar 2015","bywatera","14 Jul 2016","bywatera"
"50076917","01 Aug 2014","","1","09 Nov 2009","31 Jul 2019","1","1","0","11 Mar 2015","bywatera","14 Jul 2016","bywatera"
"50076929","01 Aug 2014","","1","01 Feb 2010","31 Jul 2021","0","1","0","24 Jun 2014","robinsonsar","17 Apr 2020","KTEMPERLEY"
"50076930","01 Aug 2014","","1","01 Feb 2010","31 Dec 2018","0","1","0","24 Jun 2014","robinsonsar","17 Sep 2018","SGUINIVAN"
"50076942","01 Aug 2014","","11","01 Aug 2010","31 Aug 2012","0","1","0","24 Jun 2014","robinsonsar","24 Jun 2014","robinsonsar"
"50076954","01 Aug 2014","","11","01 Aug 2010","31 Aug 2012","0","1","0","24 Jun 2014","robinsonsar","24 Jun 2014","robinsonsar"
"50076978","01 Aug 2014","","1","01 Feb 2010","31 Jul 2021","0","1","0","24 Jun 2014","robinsonsar","17 Apr 2020","KTEMPERLEY"
"5007698X","01 Aug 2013","","1","29 Mar 2010","31 Aug 2017","0","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50076991","01 Aug 2013","","1","21 Dec 2009","31 Aug 2013","1","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50077004","01 Aug 2013","","1","21 Dec 2009","31 Aug 2013","1","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50077016","01 Aug 2013","","1","21 Dec 2009","31 Aug 2013","1","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50077028","01 Aug 2013","","1","21 Dec 2009","31 Aug 2013","1","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"5007703X","01 Aug 2013","","1","21 Dec 2009","31 Aug 2013","1","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50077041","01 Aug 2013","","1","21 Dec 2009","31 Aug 2013","1","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50077053","01 Aug 2013","","1","21 Dec 2009","31 Aug 2013","1","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50077065","01 Aug 2013","","1","01 Mar 2011","31 Aug 2014","0","1","0","03 Feb 2014","suttonf","12 Sep 2014","bywatera"
"50077077","01 Aug 2014","","1","09 Nov 2009","31 Jul 2021","1","1","0","24 Jun 2014","robinsonsar","24 Apr 2020","SGUINIVAN"
"50077119","01 Aug 2014","","11","01 Feb 2010","31 Aug 2012","0","1","0","24 Jun 2014","robinsonsar","24 Jun 2014","robinsonsar"
"50077120","01 Aug 2014","","1","15 Mar 2010","30 Sep 2020","0","1","0","24 Jun 2014","robinsonsar","22 Jul 2020","KTEMPERLEY"
"50077132","01 Aug 2014","","1","15 Mar 2010","31 Jul 2020","0","1","0","19 Jun 2014","ChamleyPe","28 Apr 2020","KTEMPERLEY"
"50077144","01 Aug 2014","","1","15 Mar 2010","30 Sep 2020","0","1","0","24 Jun 2014","robinsonsar","22 Jul 2020","KTEMPERLEY"
"50077168","01 Aug 2013","","1","01 Feb 2010","30 Sep 2020","0","1","0","03 Feb 2014","suttonf","26 May 2020","KTEMPERLEY"
"5007717X","01 Aug 2013","","1","01 Feb 2010","30 Sep 2020","0","1","0","03 Feb 2014","suttonf","26 May 2020","KTEMPERLEY"
"50077181","01 Aug 2014","","1","15 Mar 2010","31 Jul 2020","0","1","0","24 Jun 2014","robinsonsar","28 Apr 2020","KTEMPERLEY"
"50077193","01 Aug 2013","","1","15 Mar 2010","30 Sep 2020","0","1","0","03 Feb 2014","suttonf","22 Jul 2020","KTEMPERLEY"
"5007720X","01 Aug 2014","","1","01 Aug 2010","31 Jan 2015","0","1","0","24 Jun 2014","robinsonsar","12 Feb 2015","bywatera"
"50077211","01 Aug 2014","","1","01 Aug 2010","31 Mar 2014","0","1","0","24 Jun 2014","robinsonsar","24 Jun 2014","robinsonsar"
"50077223","01 Aug 2013","","1","01 Jan 2014","31 Aug 2017","0","1","0","03 Feb 2014","suttonf","12 Sep 2014","bywatera"
"50077235","01 Aug 2014","","1","01 Aug 2010","31 Aug 2014","0","1","0","24 Jun 2014","robinsonsar","24 Jun 2014","robinsonsar"
"50077259","01 Aug 2014","","11","01 Aug 2010","31 Mar 2014","0","1","0","24 Jun 2014","robinsonsar","24 Jun 2014","robinsonsar"
"50077260","01 Aug 2014","","1","01 Aug 2010","31 Dec 2014","0","1","0","24 Jun 2014","robinsonsar","20 Oct 2014","bywatera"
"50077284","01 Aug 2013","","11","01 Aug 2010","31 Mar 2014","0","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50077296","01 Aug 2013","","11","01 Aug 2010","31 Mar 2014","0","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50077302","01 Aug 2014","","11","01 Mar 2010","31 Mar 2014","0","1","0","24 Jun 2014","robinsonsar","15 Jul 2014","robinsonsar"
"50077314","01 Aug 2014","","1","01 Aug 2010","31 Jan 2015","0","1","0","24 Jun 2014","robinsonsar","12 Feb 2015","bywatera"
"50077326","01 Aug 2014","","1","01 Aug 2010","31 Jul 2021","0","0","1","11 Mar 2015","bywatera","27 Apr 2020","SGUINIVAN"
"50077338","01 Aug 2013","","11","01 Aug 2010","31 Mar 2014","0","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"5007734X","01 Aug 2013","","1","01 Nov 2009","25 May 2017","0","1","0","03 Feb 2014","suttonf","15 Jun 2017","fisherk"
"50077351","01 Aug 2013","","1","01 Jan 2014","31 May 2014","0","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50077363","01 Aug 2013","","11","01 Aug 2010","31 Mar 2014","0","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50077375","01 Aug 2014","","1","01 Mar 2010","31 Jul 2021","0","1","0","24 Jun 2014","robinsonsar","24 Apr 2020","SGUINIVAN"
"50077387","01 Aug 2014","","1","21 Dec 2009","31 Jul 2021","1","1","0","15 Apr 2015","bywatera","17 Apr 2020","KTEMPERLEY"
"50077399","01 Aug 2014","","1","21 Dec 2009","31 Jul 2016","1","1","0","24 Jun 2014","robinsonsar","11 May 2016","bywatera"
"50077405","01 Aug 2013","","1","29 Mar 2010","31 Jul 2021","0","1","0","03 Feb 2014","suttonf","17 Apr 2020","KTEMPERLEY"
"50077417","01 Aug 2014","","1","01 Nov 2009","31 Jan 2015","0","1","0","24 Jun 2014","robinsonsar","12 Feb 2015","bywatera"
"50077429","01 Aug 2014","","1","01 Jan 2014","30 Sep 2014","0","1","0","22 Oct 2014","bywatera","22 Oct 2014","bywatera"
"50077430","01 Aug 2014","","1","15 Mar 2010","31 Jul 2014","0","1","0","24 Jun 2014","robinsonsar","15 Apr 2015","bywatera"
"50077442","01 Aug 2014","","1","07 Jun 2010","31 Jul 2021","0","1","0","24 Jun 2014","robinsonsar","24 Apr 2020","SGUINIVAN"
"50077454","01 Aug 2014","","11","01 Aug 2010","31 Mar 2014","0","1","0","24 Jun 2014","robinsonsar","24 Jun 2014","robinsonsar"
"50077466","01 Aug 2014","","11","01 Aug 2010","31 Mar 2014","0","1","0","24 Jun 2014","robinsonsar","24 Jun 2014","robinsonsar"
"5007748X","01 Aug 2013","","11","01 Aug 2010","31 Mar 2014","0","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50077491","01 Aug 2013","","11","01 Aug 2010","31 Mar 2014","0","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50077508","01 Aug 2013","","11","01 Feb 2010","31 Mar 2014","0","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"5007751X","01 Aug 2013","","11","01 Aug 2010","31 Mar 2014","0","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50077521","01 Aug 2013","","11","01 Aug 2010","31 Mar 2014","0","1","0","03 Feb 2014","suttonf","16 Sep 2014","goodmand"
"50077533","01 Aug 2014","","11","01 Aug 2010","31 Mar 2014","0","1","0","24 Jun 2014","robinsonsar","24 Jun 2014","robinsonsar"
"50077545","01 Aug 2014","","1","01 Feb 2010","30 Sep 2015","0","1","0","24 Jun 2014","robinsonsar","10 Sep 2015","bywatera"
"50077557","01 Aug 2014","","1","12 Apr 2010","31 Jul 2014","1","1","0","15 Apr 2015","bywatera","15 Apr 2015","bywatera"
"50077569","01 Aug 2014","","1","01 Aug 2010","31 Dec 2015","0","1","0","24 Jun 2014","robinsonsar","04 Dec 2015","bywatera"
"50077570","01 Aug 2014","","1","01 Aug 2010","31 Dec 2016","0","1","0","24 Jun 2014","robinsonsar","10 Jun 2015","bywatera"
"50077594","01 Aug 2014","","1","01 Aug 2010","31 Jul 2021","-2","1","-2","24 Jun 2014","robinsonsar","22 Mar 2020","SGUINIVAN"
"50077612","01 Aug 2014","","11","05 Jul 2010","31 Mar 2012","0","1","0","24 Jun 2014","robinsonsar","24 Jun 2014","robinsonsar"
"50077624","01 Aug 2014","","1","01 Feb 2010","31 Jul 2021","-2","1","-2","24 Jun 2014","robinsonsar","22 Mar 2020","SGUINIVAN"
"50077648","01 Aug 2013","","1","01 Dec 2009","30 Nov 2016","1","1","0","03 Feb 2014","suttonf","14 Jul 2016","bywatera"
"5007765X","01 Aug 2014","","1","01 Feb 2010","31 Mar 2014","0","1","0","24 Jun 2014","robinsonsar","24 Jun 2014","robinsonsar"
"50077661","01 Aug 2014","","1","01 Mar 2010","31 Oct 2014","0","1","0","24 Jun 2014","robinsonsar","13 Nov 2014","bywatera"
"50077673","01 Aug 2013","","1","01 Mar 2010","31 Jul 2021","0","1","0","03 Feb 2014","suttonf","24 Apr 2020","SGUINIVAN"
"50077685","01 Aug 2014","","1","01 Mar 2010","31 Jul 2021","0","1","0","24 Jun 2014","robinsonsar","24 Apr 2020","SGUINIVAN"
"50077697","01 Aug 2014","","1","01 Mar 2010","31 Jul 2021","0","1","0","24 Jun 2014","robinsonsar","24 Apr 2020","SGUINIVAN"
"50077703","01 Aug 2014","","1","01 Mar 2010","30 Jun 2018","0","1","0","24 Jun 2014","robinsonsar","12 Sep 2014","bywatera"
"50077715","01 Aug 2014","","1","01 Aug 2010","31 Jul 2021","0","1","0","24 Jun 2014","robinsonsar","24 Apr 2020","SGUINIVAN"
"50077727","01 Aug 2014","","1","01 Feb 2010","31 Jul 2021","1","1","0","18 Sep 2014","robinsonsar","24 Apr 2020","SGUINIVAN"
"50077739","01 Aug 2014","","1","15 Mar 2010","31 Aug 2014","1","1","0","24 Jun 2014","robinsonsar","15 Jul 2014","robinsonsar"
"50077740","01 Aug 2014","","1","15 Mar 2010","31 Aug 2014","1","1","0","18 Sep 2014","robinsonsar","18 Sep 2014","robinsonsar"
"50077752","01 Aug 2014","","1","01 Feb 2010","31 Oct 2015","1","1","0","18 Sep 2014","robinsonsar","04 Dec 2015","bywatera"
"50077764","01 Aug 2014","","1","21 Dec 2009","31 Jul 2019","1","1","0","24 Jun 2014","robinsonsar","18 Jan 2019","GUINIVAS"
"50077776","01 Aug 2014","","1","21 Dec 2009","28 Feb 2021","1","1","0","24 Jun 2014","robinsonsar","27 Apr 2020","SGUINIVAN"
"50077788","01 Aug 2014","","1","21 Dec 2009","28 Feb 2021","1","1","0","24 Jun 2014","robinsonsar","27 Apr 2020","SGUINIVAN"
"5007779X","01 Aug 2014","","1","21 Dec 2009","28 Feb 2021","1","1","0","24 Jun 2014","robinsonsar","27 Apr 2020","SGUINIVAN"
"50077806","01 Aug 2014","","1","01 Nov 2009","31 Dec 2017","1","1","0","24 Jun 2014","robinsonsar","15 Jun 2017","fisherk"
"50077818","01 Aug 2014","","1","21 Dec 2009","28 Feb 2019","1","1","0","24 Jun 2014","robinsonsar","12 Apr 2018","SGUINIVAN"
